RespondentID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly DisposableI ncome for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Most Important Factor,Q25_Products Or Services Wanted,Q26_Additional Feedback
428,Ajman,31-35,Male,400–800 Dhs,Customer Service and Sales,In Eids and seasons,No significant change in income,Extremely important,Never,Moderately,Neutral,Sometimes,Always,Very much,Often,Neutral,Often,Very important,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I save most of my income and spend cautiously.,I get excited and want to try them immediately.,3,Convenient location and parking.,Personalized engraving for gifts.,Improve stock updates online.
429,Abu Dhabi,41-50,Male,400–800 Dhs,Customer Service and Sales,Every 6 months,A decrease in disposable income,Somewhat important,Always,Not at all,"Yes, always",Rarely,Never,Not at all,Rarely,Not important at all,Sometimes,Very important,Often,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,5,Authentic brands and easy returns.,Arabic oud blends with lighter sillage.,Extend loyalty tiers with birthday perks.
430,Abu Dhabi,41-50,Female,400–800 Dhs,Marketing / Media,In Eids and seasons,A decrease in disposable income,Extremely important,Often,Very much,"No, not often",Often,Always,Completely,Always,Very important,Sometimes,Very important,Often,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,4,Authentic brands and easy returns.,Travel-size discovery sets.,Offer student and family bundles.
431,Dubai,21-25,Female,800 Dhs and above,Marketing / Media,In Eids and seasons,No significant change in income,Extremely important,Often,Not at all,Neutral,Rarely,Often,Not at all,Rarely,Somewhat important,Often,Very important,Always,I prefer trusted brands and products that are familiar and reliable. (Dependables),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,5,Authentic brands and easy returns.,Travel-size discovery sets.,Offer student and family bundles.
432,Sharjah,36–40,Male,200-400 Dhs,Customer Service and Sales,Monthly,A decrease in disposable income,Somewhat important,Never,Moderately,"Yes, always",Sometimes,Sometimes,Completely,Sometimes,Not important at all,Never,Very important,Often,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,1,Online-to-store pickup and fair pricing.,Arabic oud blends with lighter sillage.,More samples with purchases.
433,Dubai,21-25,Female,400–800 Dhs,Unemployed,Monthly,No significant change in income,Very important,Often,Slightly,"Yes, always",Often,Often,Not at all,Sometimes,Somewhat important,Often,Neutral,Often,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,3,Fast checkout and loyalty rewards.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
434,Dubai,41-50,Male,200-400 Dhs,Senior & Managerial positions,Every 3 months,No significant change in income,Neutral,Sometimes,Not at all,"Yes, always",Sometimes,Often,Very much,Always,Not important at all,Sometimes,Neutral,Never,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,1,Product variety and staff knowledge.,Personalized engraving for gifts.,More samples with purchases.
435,Abu Dhabi,21-25,Male,400–800 Dhs,Retired,Monthly,A sudden increase in income,Somewhat important,Never,Completely,"Yes, sometimes",Sometimes,Often,Slightly,Always,Very important,Sometimes,Extremely important,Rarely,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,2,Online-to-store pickup and fair pricing.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
436,Dubai,36–40,Male,800 Dhs and above,Self-employed,In Eids and seasons,A change in employment status,Neutral,Never,Moderately,"Yes, sometimes",Never,Often,Slightly,Sometimes,Neutral,Rarely,Not important at all,Sometimes,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,2,Authentic brands and easy returns.,Travel-size discovery sets.,Longer return window for unopened items.
437,Abu Dhabi,21-25,Male,400–800 Dhs,Retired,In Eids and seasons,A sudden increase in income,Not important at all,Never,Completely,"Yes, sometimes",Often,Sometimes,Moderately,Often,Extremely important,Often,Very important,Always,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,3,Exclusive releases and tester availability.,Refill options and eco-friendly packaging.,Add WhatsApp virtual consultations.
438,Dubai,21-25,Female,Less than 200 Dhs,General Employee,Monthly,A change in employment status,Somewhat important,Rarely,Not at all,"Yes, sometimes",Never,Sometimes,Moderately,Often,Not important at all,Often,Not important at all,Always,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,1,Product variety and staff knowledge.,Arabic oud blends with lighter sillage.,Offer student and family bundles.
439,Sharjah,31-35,Male,200-400 Dhs,Engineering,Every 3 months,No significant change in income,Neutral,Always,Moderately,"No, not often",Sometimes,Often,Completely,Always,Somewhat important,Often,Very important,Rarely,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,4,Online-to-store pickup and fair pricing.,Personalized engraving for gifts.,Longer return window for unopened items.
440,Abu Dhabi,21-25,Female,Less than 200 Dhs,Unemployed,Every 3 months,No significant change in income,Extremely important,Often,Completely,"Yes, sometimes",Often,Rarely,Not at all,Sometimes,Very important,Often,Extremely important,Often,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,2,Product variety and staff knowledge.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
441,Dubai,36–40,Female,400–800 Dhs,Health,Every 3 months,No significant change in income,Somewhat important,Sometimes,Slightly,"No, not often",Never,Often,Very much,Rarely,Neutral,Always,Extremely important,Often,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,3,Product variety and staff knowledge.,More niche fragrance houses.,Offer student and family bundles.
442,Sharjah,36–40,Prefer not to say,200-400 Dhs,Unemployed,Weekly,A sudden increase in income,Neutral,Sometimes,Very much,"Yes, sometimes",Sometimes,Rarely,Slightly,Often,Extremely important,Sometimes,Neutral,Often,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,4,Fast checkout and loyalty rewards.,Refill options and eco-friendly packaging.,Extend loyalty tiers with birthday perks.
443,Dubai,31-35,Female,200-400 Dhs,Unemployed,In Eids and seasons,A change in employment status,Neutral,Often,Very much,"Yes, sometimes",Rarely,Rarely,Completely,Often,Neutral,Often,Not important at all,Sometimes,I prefer trusted brands and products that are familiar and reliable. (Dependables),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,1,Fast checkout and loyalty rewards.,Personalized engraving for gifts.,Longer return window for unopened items.
444,Abu Dhabi,36–40,Female,Less than 200 Dhs,Entrepreneur,Monthly,A decrease in disposable income,Not important at all,Always,Very much,Neutral,Often,Sometimes,Slightly,Sometimes,Very important,Never,Neutral,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I save most of my income and spend cautiously.,I get excited and want to try them immediately.,2,Exclusive releases and tester availability.,Arabic oud blends with lighter sillage.,More samples with purchases.
445,Sharjah,31-35,Male,200-400 Dhs,Health,Every 3 months,No significant change in income,Very important,Always,Not at all,"Yes, sometimes",Rarely,Rarely,Slightly,Sometimes,Very important,Never,Not important at all,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,1,Convenient location and parking.,More niche fragrance houses.,Offer student and family bundles.
446,Sharjah,41-50,Male,400–800 Dhs,General Employee,In Eids and seasons,A change in employment status,Extremely important,Often,Completely,"Yes, always",Sometimes,Always,Very much,Often,Extremely important,Rarely,Somewhat important,Rarely,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,3,Fast checkout and loyalty rewards.,Arabic oud blends with lighter sillage.,Extend loyalty tiers with birthday perks.
447,Abu Dhabi,36–40,Female,400–800 Dhs,Law,Every 3 months,No significant change in income,Not important at all,Often,Completely,"Yes, always",Always,Sometimes,Very much,Never,Extremely important,Rarely,Not important at all,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,5,Convenient location and parking.,Arabic oud blends with lighter sillage.,More samples with purchases.
448,Sharjah,41-50,Female,400–800 Dhs,Unemployed,Yearly,A decrease in disposable income,Very important,Sometimes,Completely,Neutral,Rarely,Sometimes,Slightly,Rarely,Very important,Often,Very important,Rarely,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,1,Product variety and staff knowledge.,Personalized engraving for gifts.,More samples with purchases.
449,Dubai,36–40,Female,400–800 Dhs,Self-employed,Monthly,No significant change in income,Not important at all,Often,Very much,"Yes, sometimes",Often,Rarely,Very much,Sometimes,Extremely important,Often,Extremely important,Always,I prefer trusted brands and products that are familiar and reliable. (Dependables),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,1,Authentic brands and easy returns.,Workshops on layering scents.,More samples with purchases.
450,Abu Dhabi,26-30,Male,400–800 Dhs,General Employee,Monthly,A change in employment status,Extremely important,Never,Slightly,"Yes, sometimes",Often,Sometimes,Not at all,Always,Neutral,Often,Extremely important,Rarely,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,4,Online-to-store pickup and fair pricing.,More niche fragrance houses.,Offer student and family bundles.
451,Dubai,26-30,Female,200-400 Dhs,Engineering,Monthly,A sudden increase in income,Neutral,Sometimes,Completely,Neutral,Rarely,Often,Not at all,Always,Not important at all,Often,Neutral,Often,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,4,Authentic brands and easy returns.,Workshops on layering scents.,Longer return window for unopened items.
452,Dubai,41-50,Male,Less than 200 Dhs,Education,In Eids and seasons,A sudden increase in income,Not important at all,Often,Very much,Neutral,Always,Rarely,Slightly,Often,Somewhat important,Often,Very important,Always,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,4,Exclusive releases and tester availability.,Arabic oud blends with lighter sillage.,Extend loyalty tiers with birthday perks.
453,Fujairah,41-50,Male,400–800 Dhs,Self-employed,Weekly,A change in employment status,Somewhat important,Never,Slightly,"Yes, sometimes",Often,Always,Slightly,Rarely,Very important,Often,Extremely important,Always,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,5,Online-to-store pickup and fair pricing.,Arabic oud blends with lighter sillage.,Offer student and family bundles.
454,Umm Al Quwain,21-25,Female,200-400 Dhs,Senior & Managerial positions,Every 3 months,No significant change in income,Somewhat important,Often,Completely,"Yes, sometimes",Rarely,Always,Slightly,Always,Neutral,Always,Somewhat important,Never,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,2,Authentic brands and easy returns.,Personalized engraving for gifts.,Offer student and family bundles.
455,Dubai,31-35,Female,800 Dhs and above,Customer Service and Sales,Every 3 months,No significant change in income,Somewhat important,Always,Very much,"No, not often",Rarely,Rarely,Moderately,Rarely,Extremely important,Always,Neutral,Often,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,4,Product variety and staff knowledge.,Refill options and eco-friendly packaging.,Extend loyalty tiers with birthday perks.
456,Abu Dhabi,31-35,Male,800 Dhs and above,Retired,Weekly,No significant change in income,Neutral,Sometimes,Moderately,"Yes, sometimes",Often,Often,Moderately,Always,Somewhat important,Sometimes,Not important at all,Always,I prefer trusted brands and products that are familiar and reliable. (Dependables),I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,4,Convenient location and parking.,Arabic oud blends with lighter sillage.,Offer student and family bundles.
457,Dubai,31-35,Female,200-400 Dhs,General Employee,Weekly,A decrease in disposable income,Very important,Always,Slightly,"No, never",Sometimes,Sometimes,Not at all,Never,Extremely important,Sometimes,Somewhat important,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,5,Exclusive releases and tester availability.,Refill options and eco-friendly packaging.,Extend loyalty tiers with birthday perks.
458,Dubai,21-25,Male,200-400 Dhs,Education,Every 3 months,A sudden increase in income,Extremely important,Often,Very much,"Yes, always",Often,Rarely,Very much,Sometimes,Extremely important,Rarely,Somewhat important,Sometimes,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,3,Authentic brands and easy returns.,Workshops on layering scents.,Extend loyalty tiers with birthday perks.
459,Dubai,21-25,Male,200-400 Dhs,Education,Yearly,No significant change in income,Extremely important,Never,Not at all,Neutral,Always,Often,Slightly,Often,Not important at all,Often,Not important at all,Sometimes,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,3,Product variety and staff knowledge.,Travel-size discovery sets.,Improve stock updates online.
460,Abu Dhabi,Under 21,Male,800 Dhs and above,Unemployed,Every 3 months,A change in employment status,Not important at all,Always,Very much,Neutral,Always,Often,Slightly,Often,Extremely important,Often,Not important at all,Often,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,3,Authentic brands and easy returns.,Arabic oud blends with lighter sillage.,Extend loyalty tiers with birthday perks.
461,Ajman,Over 50,Prefer not to say,200-400 Dhs,Senior & Managerial positions,Every 6 months,A decrease in disposable income,Not important at all,Sometimes,Moderately,"No, never",Often,Often,Slightly,Never,Somewhat important,Rarely,Somewhat important,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I save most of my income and spend cautiously.,I get excited and want to try them immediately.,2,Authentic brands and easy returns.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
462,Dubai,21-25,Male,200-400 Dhs,Banking and Finance,In Eids and seasons,A decrease in disposable income,Very important,Often,Not at all,Neutral,Always,Sometimes,Very much,Sometimes,Not important at all,Rarely,Very important,Sometimes,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I get excited and want to try them immediately.,4,Exclusive releases and tester availability.,Travel-size discovery sets.,Improve stock updates online.
463,Ras Al-Khaimah,21-25,Male,200-400 Dhs,Unemployed,Every 6 months,No significant change in income,Somewhat important,Often,Very much,"Yes, always",Sometimes,Often,Completely,Often,Very important,Always,Somewhat important,Sometimes,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,3,Online-to-store pickup and fair pricing.,Refill options and eco-friendly packaging.,Improve stock updates online.
464,Abu Dhabi,21-25,Female,200-400 Dhs,General Employee,Every 6 months,A change in employment status,Extremely important,Often,Slightly,"Yes, sometimes",Sometimes,Rarely,Completely,Always,Neutral,Rarely,Not important at all,Sometimes,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,3,Authentic brands and easy returns.,Arabic oud blends with lighter sillage.,Add WhatsApp virtual consultations.
465,Ajman,21-25,Male,200-400 Dhs,General Employee,In Eids and seasons,No significant change in income,Not important at all,Always,Completely,"Yes, always",Sometimes,Always,Very much,Never,Not important at all,Never,Extremely important,Never,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,3,Online-to-store pickup and fair pricing.,Arabic oud blends with lighter sillage.,Improve stock updates online.
466,Dubai,Under 21,Female,800 Dhs and above,Banking and Finance,In Eids and seasons,No significant change in income,Very important,Always,Completely,"Yes, always",Often,Always,Moderately,Sometimes,Extremely important,Sometimes,Extremely important,Sometimes,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I save most of my income and spend cautiously.,I get excited and want to try them immediately.,2,Fast checkout and loyalty rewards.,Workshops on layering scents.,More samples with purchases.
467,Ras Al-Khaimah,26-30,Male,Less than 200 Dhs,Unemployed,Every 6 months,A sudden increase in income,Not important at all,Always,Very much,"Yes, sometimes",Never,Sometimes,Completely,Often,Extremely important,Always,Neutral,Rarely,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,1,Product variety and staff knowledge.,Personalized engraving for gifts.,Longer return window for unopened items.
468,Ras Al-Khaimah,26-30,Male,Less than 200 Dhs,Customer Service and Sales,Every 3 months,A decrease in disposable income,Neutral,Sometimes,Completely,"Yes, always",Sometimes,Always,Very much,Often,Extremely important,Often,Not important at all,Rarely,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,4,Convenient location and parking.,Travel-size discovery sets.,More samples with purchases.
469,Dubai,26-30,Female,800 Dhs and above,Health,Monthly,No significant change in income,Not important at all,Sometimes,Completely,"Yes, sometimes",Sometimes,Always,Completely,Never,Not important at all,Sometimes,Neutral,Sometimes,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,3,Online-to-store pickup and fair pricing.,Travel-size discovery sets.,Extend loyalty tiers with birthday perks.
470,Dubai,26-30,Female,200-400 Dhs,Engineering,Yearly,A change in employment status,Extremely important,Sometimes,Not at all,"No, not often",Sometimes,Rarely,Moderately,Sometimes,Extremely important,Sometimes,Somewhat important,Sometimes,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I save most of my income and spend cautiously.,I rarely pay attention to new launches.,3,Fast checkout and loyalty rewards.,Refill options and eco-friendly packaging.,Add WhatsApp virtual consultations.
471,Ajman,26-30,Female,800 Dhs and above,Customer Service and Sales,Monthly,A change in employment status,Very important,Often,Completely,"Yes, sometimes",Sometimes,Sometimes,Moderately,Sometimes,Very important,Sometimes,Very important,Sometimes,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I save most of my income and spend cautiously.,I get excited and want to try them immediately.,2,Convenient location and parking.,Travel-size discovery sets.,More samples with purchases.
472,Dubai,Over 50,Female,400–800 Dhs,General Employee,Monthly,A sudden increase in income,Somewhat important,Sometimes,Slightly,"Yes, sometimes",Always,Often,Not at all,Always,Not important at all,Sometimes,Extremely important,Sometimes,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,5,Exclusive releases and tester availability.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
473,Dubai,36–40,Male,800 Dhs and above,Marketing / Media,Every 3 months,A change in employment status,Somewhat important,Always,Not at all,"Yes, sometimes",Always,Often,Not at all,Rarely,Neutral,Sometimes,Very important,Often,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,3,Authentic brands and easy returns.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
474,Abu Dhabi,41-50,Female,400–800 Dhs,Education,In Eids and seasons,A change in employment status,Very important,Never,Slightly,"No, not often",Often,Rarely,Very much,Often,Neutral,Often,Not important at all,Always,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,2,Online-to-store pickup and fair pricing.,Refill options and eco-friendly packaging.,Offer student and family bundles.
475,Ajman,26-30,Female,400–800 Dhs,General Employee,Every 3 months,A decrease in disposable income,Somewhat important,Always,Very much,"No, not often",Often,Sometimes,Not at all,Always,Extremely important,Always,Not important at all,Rarely,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,4,Online-to-store pickup and fair pricing.,Travel-size discovery sets.,Extend loyalty tiers with birthday perks.
476,Abu Dhabi,36–40,Male,800 Dhs and above,Senior & Managerial positions,Every 3 months,A change in employment status,Extremely important,Never,Not at all,"No, not often",Always,Never,Very much,Always,Extremely important,Sometimes,Not important at all,Rarely,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,4,Product variety and staff knowledge.,More niche fragrance houses.,Longer return window for unopened items.
477,Abu Dhabi,41-50,Female,400–800 Dhs,Law,Monthly,A sudden increase in income,Somewhat important,Sometimes,Moderately,"No, not often",Rarely,Sometimes,Completely,Always,Somewhat important,Often,Very important,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I save most of my income and spend cautiously.,I rarely pay attention to new launches.,2,Fast checkout and loyalty rewards.,Arabic oud blends with lighter sillage.,Offer student and family bundles.
478,Abu Dhabi,Over 50,Male,800 Dhs and above,General Employee,Monthly,A sudden increase in income,Not important at all,Always,Very much,"Yes, sometimes",Often,Sometimes,Very much,Sometimes,Extremely important,Often,Extremely important,Always,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,4,Product variety and staff knowledge.,Refill options and eco-friendly packaging.,More samples with purchases.
479,Dubai,21-25,Male,800 Dhs and above,Engineering,Every 3 months,A change in employment status,Extremely important,Always,Not at all,"Yes, always",Sometimes,Often,Very much,Sometimes,Somewhat important,Rarely,Very important,Often,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,2,Exclusive releases and tester availability.,Arabic oud blends with lighter sillage.,Improve stock updates online.
480,Abu Dhabi,26-30,Female,400–800 Dhs,Unemployed,Every 3 months,No significant change in income,Extremely important,Often,Very much,"No, never",Sometimes,Rarely,Moderately,Sometimes,Extremely important,Always,Extremely important,Sometimes,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,2,Online-to-store pickup and fair pricing.,More niche fragrance houses.,Longer return window for unopened items.
481,Dubai,26-30,Male,400–800 Dhs,Banking and Finance,Every 6 months,A sudden increase in income,Extremely important,Often,Very much,"Yes, always",Never,Often,Not at all,Sometimes,Not important at all,Always,Very important,Often,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,4,Convenient location and parking.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
482,Sharjah,36–40,Female,400–800 Dhs,Health,Yearly,A change in employment status,Somewhat important,Often,Not at all,Neutral,Sometimes,Rarely,Slightly,Always,Somewhat important,Always,Extremely important,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,2,Online-to-store pickup and fair pricing.,Travel-size discovery sets.,Improve stock updates online.
483,Dubai,Under 21,Male,800 Dhs and above,General Employee,Monthly,A sudden increase in income,Somewhat important,Rarely,Not at all,"Yes, always",Sometimes,Often,Not at all,Often,Extremely important,Sometimes,Very important,Always,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,2,Product variety and staff knowledge.,Travel-size discovery sets.,Improve stock updates online.
484,Sharjah,Under 21,Female,800 Dhs and above,Marketing / Media,Weekly,No significant change in income,Very important,Sometimes,Moderately,"Yes, sometimes",Sometimes,Often,Completely,Sometimes,Not important at all,Always,Very important,Often,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,1,Online-to-store pickup and fair pricing.,Arabic oud blends with lighter sillage.,Add WhatsApp virtual consultations.
485,Dubai,Under 21,Female,800 Dhs and above,Self-employed,Monthly,A change in employment status,Very important,Sometimes,Very much,"No, never",Often,Sometimes,Moderately,Often,Extremely important,Always,Very important,Sometimes,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Exclusive releases and tester availability.,Workshops on layering scents.,Longer return window for unopened items.
486,Dubai,36–40,Female,200-400 Dhs,Customer Service and Sales,Every 6 months,A change in employment status,Very important,Rarely,Completely,"Yes, sometimes",Never,Rarely,Not at all,Often,Somewhat important,Sometimes,Neutral,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,3,Online-to-store pickup and fair pricing.,Arabic oud blends with lighter sillage.,Improve stock updates online.
487,Fujairah,41-50,Female,400–800 Dhs,Retired,Every 3 months,No significant change in income,Extremely important,Always,Moderately,"Yes, sometimes",Always,Never,Completely,Often,Extremely important,Always,Extremely important,Rarely,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,4,Product variety and staff knowledge.,Travel-size discovery sets.,Longer return window for unopened items.
488,Dubai,26-30,Male,800 Dhs and above,Marketing / Media,Monthly,A sudden increase in income,Extremely important,Sometimes,Moderately,"No, not often",Always,Rarely,Moderately,Always,Extremely important,Rarely,Somewhat important,Never,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,2,Convenient location and parking.,Workshops on layering scents.,Extend loyalty tiers with birthday perks.
489,Dubai,26-30,Female,200-400 Dhs,Customer Service and Sales,Every 3 months,A change in employment status,Extremely important,Rarely,Moderately,"Yes, sometimes",Always,Often,Completely,Often,Very important,Often,Neutral,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,5,Exclusive releases and tester availability.,Arabic oud blends with lighter sillage.,Add WhatsApp virtual consultations.
